,Procedure,Outcome,Features,Model,Rep,Fold,FPR,TPR,Thresholds
81,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005927389478883675,0.34630541871921183,0.7588068657894197
82,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005927389478883675,0.34679802955665023,0.7587938061974684
83,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0061743640405038285,0.34679802955665023,0.7585946852099921
84,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0061743640405038285,0.34926108374384235,0.7578312206740945
85,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0062978513213139044,0.34926108374384235,0.7576164188252564
86,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0062978513213139044,0.3536945812807882,0.7562545051748181
87,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006421338602123981,0.3536945812807882,0.7556845352671124
88,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006421338602123981,0.3556650246305419,0.7548039410634884
89,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006544825882934058,0.3556650246305419,0.7547964829783012
90,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006544825882934058,0.3566502463054187,0.7543670254474317
91,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006668313163744134,0.3566502463054187,0.7540763286741674
92,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006668313163744134,0.35763546798029555,0.7538241383116732
93,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006791800444554211,0.35763546798029555,0.7535719771539465
94,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006791800444554211,0.3586206896551724,0.7527811001770658
95,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006915287725364288,0.3586206896551724,0.7527711663512395
96,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006915287725364288,0.35911330049261087,0.7525161271474788
97,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0071622622869844405,0.35911330049261087,0.7520660141150953
98,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0071622622869844405,0.35960591133004927,0.7520437207621341
99,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.007285749567794517,0.35960591133004927,0.7519637679956243
100,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.007285749567794517,0.3605911330049261,0.7517788350046302
101,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.007409236848604593,0.3605911330049261,0.751594075103785
102,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.007409236848604593,0.36551724137931035,0.7500927282753612
103,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.00753272412941467,0.36551724137931035,0.7497450117665428
104,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.00753272412941467,0.367487684729064,0.7493903364500282
105,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.007656211410224747,0.367487684729064,0.7493318218198597
106,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.007656211410224747,0.36798029556650247,0.74922994387616
107,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.007779698691034824,0.36798029556650247,0.7490412861027402
108,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.007779698691034824,0.3689655172413793,0.7489266050270834
109,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0079031859718449,0.3689655172413793,0.7489180821301936
110,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0079031859718449,0.3694581280788177,0.7487304799273661
111,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008150160533465053,0.3694581280788177,0.7485669754292271
112,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008150160533465053,0.3699507389162562,0.7485077146164032
113,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.00827364781427513,0.3699507389162562,0.7483948180079694
114,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.00827364781427513,0.37142857142857144,0.7483022376615893
115,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008397135095085207,0.37142857142857144,0.7482407748909736
116,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008397135095085207,0.3729064039408867,0.7477854963029005
117,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008520622375895282,0.3729064039408867,0.7474871711888956
118,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008520622375895282,0.3748768472906404,0.7468440216481409
119,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008644109656705359,0.3748768472906404,0.7467088049925029
120,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008644109656705359,0.3753694581280788,0.7465691860113921
121,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008767596937515436,0.3753694581280788,0.746504732590435
122,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008767596937515436,0.3768472906403941,0.74619525742459
123,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008891084218325513,0.3768472906403941,0.7460104855792652
124,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008891084218325513,0.37783251231527093,0.745310741297066
125,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.00901457149913559,0.37783251231527093,0.7451023434769564
126,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.00901457149913559,0.37980295566502464,0.7449492990665595
127,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.009138058779945666,0.37980295566502464,0.7447769162465604
128,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.009138058779945666,0.3817733990147783,0.7443518965114344
129,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.009261546060755741,0.3817733990147783,0.7440102577519568
130,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.009261546060755741,0.3842364532019704,0.7434127302744966
131,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.009508520622375895,0.3842364532019704,0.7432546983141092
